id,photo_num,filename,cloudinary_url,public_id,width,height,bytes
68,1,68_NÜ KADIN 1_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782219018/alan-art-coffee/eser_68_N%C3%9C_KADIN_1_1.jpg,alan-art-coffee/eser_68_NÜ_KADIN_1_1,3000,4000,1768597
68,2,68_NÜ KADIN 1_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782219029/alan-art-coffee/eser_68_N%C3%9C_KADIN_1_2.jpg,alan-art-coffee/eser_68_NÜ_KADIN_1_2,3000,4000,1806514
68,3,68_NÜ KADIN 1_3.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782219039/alan-art-coffee/eser_68_N%C3%9C_KADIN_1_3.jpg,alan-art-coffee/eser_68_NÜ_KADIN_1_3,3000,4000,1439560
69,1,69_BAYKUŞ_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782219051/alan-art-coffee/eser_69_BAYKU%C5%9E_1.jpg,alan-art-coffee/eser_69_BAYKUŞ_1,3000,4000,2098229
69,2,69_BAYKUŞ_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782219062/alan-art-coffee/eser_69_BAYKU%C5%9E_2.jpg,alan-art-coffee/eser_69_BAYKUŞ_2,3000,4000,1970984
69,3,69_BAYKUŞ_3.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782219072/alan-art-coffee/eser_69_BAYKU%C5%9E_3.jpg,alan-art-coffee/eser_69_BAYKUŞ_3,3000,4000,1712839
6,1,6_MOZAİK ÜZÜM_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782219084/alan-art-coffee/eser_6_MOZA%C4%B0K_%C3%9CZ%C3%9CM_1.jpg,alan-art-coffee/eser_6_MOZAİK_ÜZÜM_1,3000,4000,2190605
6,2,6_MOZAİK ÜZÜM_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782219094/alan-art-coffee/eser_6_MOZA%C4%B0K_%C3%9CZ%C3%9CM_2.jpg,alan-art-coffee/eser_6_MOZAİK_ÜZÜM_2,3000,4000,1802221
6,3,6_MOZAİK ÜZÜM_3.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782219103/alan-art-coffee/eser_6_MOZA%C4%B0K_%C3%9CZ%C3%9CM_3.jpg,alan-art-coffee/eser_6_MOZAİK_ÜZÜM_3,3000,4000,1416500
70,1,70_FİLAMİNGO_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782219115/alan-art-coffee/eser_70_F%C4%B0LAM%C4%B0NGO_1.jpg,alan-art-coffee/eser_70_FİLAMİNGO_1,3000,4000,2019215
